###################################################
#
# File generated by the CONCEPT-II program radiate
#
# Simple Antenna                                                       
#
# Vertical diagram 
# Values for electric far field 
# Column  1 : Angle in radians
# Column  2 : Magnitude [V], 100.0000 MHz             
# 
  0.0000000E+00  1.5621047E-03
  4.1887902E-02  1.4346311E-03
  8.3775803E-02  1.2973117E-03
  0.1256637      1.1533493E-03
  0.1675516      1.0068559E-03
  0.2094395      8.6385646E-04
  0.2513274      7.3377090E-04
  0.2932153      6.2871247E-04
  0.3351032      5.5588427E-04
  0.3769911      5.1433599E-04
  0.4188790      5.0765980E-04
  0.4607669      5.5175764E-04
  0.5026549      6.5092195E-04
  0.5445427      7.8281655E-04
  0.5864306      9.2768122E-04
  0.6283185      1.0761858E-03
  0.6702064      1.2241843E-03
  0.7120943      1.3697101E-03
  0.7539822      1.5118176E-03
  0.7958701      1.6501166E-03
  0.8377581      1.7845582E-03
  0.8796459      1.9153147E-03
  0.9215338      2.0427024E-03
  0.9634218      2.1671159E-03
   1.005310      2.2889767E-03
   1.047198      2.4086863E-03
   1.089085      2.5265845E-03
   1.130973      2.6429212E-03
   1.172861      2.7578296E-03
   1.214749      2.8713152E-03
   1.256637      2.9832532E-03
   1.298525      3.0933919E-03
   1.340413      3.2013715E-03
   1.382301      3.3067514E-03
   1.424189      3.4090502E-03
   1.466077      3.5077974E-03
   1.507964      3.6025995E-03
   1.549852      3.6932128E-03
   1.591740      3.7796220E-03
   1.633628      3.8621128E-03
   1.675516      3.9413241E-03
   1.717404      4.0182746E-03
   1.759292      4.0943408E-03
   1.801180      4.1711996E-03
   1.843068      4.2507169E-03
   1.884956      4.3348186E-03
   1.926844      4.4253431E-03
   1.968731      4.5238901E-03
   2.010619      4.6316735E-03
   2.052507      4.7493819E-03
   2.094395      4.8770392E-03
   2.136283      5.0138924E-03
   2.178171      5.1583429E-03
   2.220059      5.3079561E-03
   2.261947      5.4595615E-03
   2.303835      5.6094406E-03
   2.345722      5.7535721E-03
   2.387610      5.8878986E-03
   2.429498      6.0085813E-03
   2.471386      6.1121979E-03
   2.513274      6.1959014E-03
   2.555162      6.2574972E-03
   2.597050      6.2954831E-03
   2.638938      6.3090287E-03
   2.680826      6.2979320E-03
   2.722714      6.2625445E-03
   2.764601      6.2036808E-03
   2.806489      6.1225239E-03
   2.848377      6.0205334E-03
   2.890265      5.8993539E-03
   2.932153      5.7607316E-03
   2.974041      5.6064478E-03
   3.015929      5.4382612E-03
   3.057817      5.2578594E-03
   3.099705      5.0668307E-03
   3.141593      4.8666401E-03
   3.183481      4.6586171E-03
   3.225368      4.4439561E-03
   3.267256      4.2237155E-03
   3.309144      3.9988351E-03
   3.351032      3.7701535E-03
   3.392920      3.5384432E-03
   3.434808      3.3044643E-03
   3.476696      3.0690418E-03
   3.518584      2.8331943E-03
   3.560472      2.5983192E-03
   3.602360      2.3664800E-03
   3.644248      2.1407991E-03
   3.686135      1.9259305E-03
   3.728023      1.7283229E-03
   3.769911      1.5555031E-03
   3.811799      1.4134103E-03
   3.853687      1.3027588E-03
   3.895575      1.2185500E-03
   3.937463      1.1549124E-03
   3.979351      1.1139346E-03
   4.021239      1.1206432E-03
   4.063127      1.2115266E-03
   4.105014      1.3577876E-03
   4.146902      1.5114779E-03
   4.188790      1.6496355E-03
   4.230678      1.7610539E-03
   4.272566      1.8387835E-03
   4.314454      1.8780051E-03
   4.356342      1.8754619E-03
   4.398230      1.8293468E-03
   4.440118      1.7393300E-03
   4.482006      1.6066264E-03
   4.523893      1.4340729E-03
   4.565781      1.2262700E-03
   4.607669      9.8997378E-04
   4.649557      7.3555828E-04
   4.691445      4.8356006E-04
   4.733333      2.9474133E-04
   4.775221      3.2137602E-04
   4.817109      5.6144560E-04
   4.858997      8.1917917E-04
   4.900885      1.0628467E-03
   4.942772      1.2795023E-03
   4.984660      1.4607223E-03
   5.026548      1.6003647E-03
   5.068436      1.6940627E-03
   5.110324      1.7391181E-03
   5.152212      1.7344768E-03
   5.194100      1.6807029E-03
   5.235988      1.5799166E-03
   5.277875      1.4356948E-03
   5.319764      1.2529609E-03
   5.361651      1.0380226E-03
   5.403539      8.0003828E-04
   5.445427      5.7934941E-04
   5.487315      4.5653229E-04
   5.529203      3.5066676E-04
   5.571091      3.0914645E-04
   5.612979      5.7747186E-04
   5.654867      8.3239976E-04
   5.696754      1.0684842E-03
   5.738643      1.2816181E-03
   5.780530      1.4686568E-03
   5.822418      1.6273807E-03
   5.864306      1.7564417E-03
   5.906194      1.8552887E-03
   5.948082      1.9240739E-03
   5.989970      1.9635486E-03
   6.031858      1.9749585E-03
   6.073746      1.9599386E-03
   6.115633      1.9204179E-03
   6.157522      1.8585380E-03
   6.199409      1.7765858E-03
   6.241297      1.6769501E-03
   6.283185      1.6769501E-03
