###################################################
#
# File generated by the CONCEPT-II program radiate
#
# Simple Antenna                                                       
#
# Horizontal diagram 
# Values for electric far field 
# Column  1 : Angle in radians
# Column  2 : Magnitude [V], 100.0000 MHz             
# 
  0.0000000E+00  1.5621047E-03
  4.1887902E-02  1.5270907E-03
  8.3775803E-02  1.4750821E-03
  0.1256637      1.4069040E-03
  0.1675516      1.3237696E-03
  0.2094395      1.2273092E-03
  0.2513274      1.1196263E-03
  0.2932153      1.0033913E-03
  0.3351032      8.8200642E-04
  0.3769911      7.5988768E-04
  0.4188790      6.4293883E-04
  0.4607669      5.3920841E-04
  0.5026549      4.5945271E-04
  0.5445427      4.1729704E-04
  0.5864306      4.2562533E-04
  0.6283185      4.7467710E-04
  0.6702064      5.4045365E-04
  0.7120943      6.0785294E-04
  0.7539822      6.6844327E-04
  0.7958701      7.1727944E-04
  0.8377581      7.5154461E-04
  0.8796459      7.6990720E-04
  0.9215338      7.7218190E-04
  0.9634218      7.5913529E-04
   1.005310      7.3238445E-04
   1.047198      6.9440762E-04
   1.089085      6.4879889E-04
   1.130973      6.0122309E-04
   1.172861      5.6272355E-04
   1.214749      5.5813848E-04
   1.256637      6.1526720E-04
   1.298525      7.1641669E-04
   1.340413      8.3207886E-04
   1.382301      9.4845210E-04
   1.424189      1.0593235E-03
   1.466077      1.1614590E-03
   1.507964      1.2533325E-03
   1.549852      1.3348811E-03
   1.591740      1.4076048E-03
   1.633628      1.4747513E-03
   1.675516      1.5413372E-03
   1.717404      1.6136109E-03
   1.759292      1.6976186E-03
   1.801180      1.7971862E-03
   1.843068      1.9125397E-03
   1.884956      2.0405413E-03
   1.926844      2.1761272E-03
   1.968731      2.3138598E-03
   2.010619      2.4490121E-03
   2.052507      2.5781968E-03
   2.094395      2.6996972E-03
   2.136283      2.8136044E-03
   2.178171      2.9217429E-03
   2.220059      3.0273099E-03
   2.261947      3.1341629E-03
   2.303835      3.2458422E-03
   2.345722      3.3646303E-03
   2.387610      3.4910350E-03
   2.429498      3.6238790E-03
   2.471386      3.7608300E-03
   2.513274      3.8990339E-03
   2.555162      4.0356126E-03
   2.597050      4.1679484E-03
   2.638938      4.2938041E-03
   2.680826      4.4113304E-03
   2.722714      4.5190249E-03
   2.764601      4.6156719E-03
   2.806489      4.7002807E-03
   2.848377      4.7720298E-03
   2.890265      4.8302263E-03
   2.932153      4.8742737E-03
   2.974041      4.9036536E-03
   3.015929      4.9179164E-03
   3.057817      4.9166814E-03
   3.099705      4.8996541E-03
   3.141593      4.8666401E-03
   3.183481      4.8175761E-03
   3.225368      4.7525638E-03
   3.267256      4.6719043E-03
   3.309144      4.5761359E-03
   3.351032      4.4660736E-03
   3.392920      4.3428340E-03
   3.434808      4.2078588E-03
   3.476696      4.0629189E-03
   3.518584      3.9101057E-03
   3.560472      3.7517967E-03
   3.602360      3.5906108E-03
   3.644248      3.4293425E-03
   3.686135      3.2708852E-03
   3.728023      3.1181495E-03
   3.769911      2.9739698E-03
   3.811799      2.8409881E-03
   3.853687      2.7214810E-03
   3.895575      2.6170996E-03
   3.937463      2.5285264E-03
   3.979351      2.4551444E-03
   4.021239      2.3949104E-03
   4.063127      2.3445950E-03
   4.105014      2.3003705E-03
   4.146902      2.2585122E-03
   4.188790      2.2159617E-03
   4.230678      2.1706221E-03
   4.272566      2.1213950E-03
   4.314454      2.0680295E-03
   4.356342      2.0108575E-03
   4.398230      1.9504766E-03
   4.440118      1.8874303E-03
   4.482006      1.8219487E-03
   4.523893      1.7538075E-03
   4.565781      1.6823586E-03
   4.607669      1.6067820E-03
   4.649557      1.5267249E-03
   4.691445      1.4442166E-03
   4.733333      1.3728087E-03
   4.775221      1.3686256E-03
   4.817109      1.4457493E-03
   4.858997      1.5424945E-03
   4.900885      1.6365888E-03
   4.942772      1.7208118E-03
   4.984660      1.7912904E-03
   5.026548      1.8454064E-03
   5.068436      1.8813192E-03
   5.110324      1.8978395E-03
   5.152212      1.8943935E-03
   5.194100      1.8710222E-03
   5.235988      1.8283984E-03
   5.277875      1.7678662E-03
   5.319764      1.6915166E-03
   5.361651      1.6023192E-03
   5.403539      1.5043082E-03
   5.445427      1.4027613E-03
   5.487315      1.3041130E-03
   5.529203      1.2151017E-03
   5.571091      1.1409913E-03
   5.612979      1.0841369E-03
   5.654867      1.0445829E-03
   5.696754      1.0220474E-03
   5.738643      1.0173059E-03
   5.780530      1.0321339E-03
   5.822418      1.0678422E-03
   5.864306      1.1230942E-03
   5.906194      1.1929026E-03
   5.948082      1.2700331E-03
   5.989970      1.3472998E-03
   6.031858      1.4188702E-03
   6.073746      1.4804567E-03
   6.115633      1.5290465E-03
   6.157522      1.5625827E-03
   6.199409      1.5797210E-03
   6.241297      1.5796721E-03
   6.283185      1.5621047E-03
