###################################################
#
# File generated by the CONCEPT program radiate
#
# Vertical diagram 
# Values for far field 
# Column  1 : Angle
# Column  2 : Magnitude, .3000      MHz               
# 
   0.000000  1.603553E-05
   0.157080  1.583809E-05
   0.314159  1.525065E-05
   0.471239  1.428767E-05
   0.628319  1.297288E-05
   0.785398  1.133866E-05
   0.942478  9.425258E-06
   1.09956  7.279800E-06
   1.25664  4.955114E-06
   1.41372  2.508434E-06
   1.57080  0.000000
   1.72788  2.508434E-06
   1.88496  4.955114E-06
   2.04204  7.279800E-06
   2.19911  9.425258E-06
   2.35619  1.133866E-05
   2.51327  1.297288E-05
   2.67035  1.428767E-05
   2.82743  1.525065E-05
   2.98451  1.583809E-05
   3.14159  1.603553E-05
   3.29867  1.583809E-05
   3.45575  1.525065E-05
   3.61283  1.428767E-05
   3.76991  1.297288E-05
   3.92699  1.133866E-05
   4.08407  9.425258E-06
   4.24115  7.279800E-06
   4.39823  4.955114E-06
   4.55531  2.508434E-06
   4.71239  1.963661E-21
   4.86947  2.508434E-06
   5.02655  4.955114E-06
   5.18363  7.279800E-06
   5.34071  9.425258E-06
   5.49779  1.133866E-05
   5.65487  1.297288E-05
   5.81195  1.428767E-05
   5.96903  1.525065E-05
   6.12611  1.583809E-05
   6.28319  1.603553E-05
