###################################################
#
# File generated by the CONCEPT program radiate
#
# Vertical diagram 
# Values for far field 
# Column  1 : Angle
# Column  2 : Magnitude, 90.0000 MHz                  
# 
   0.000000  8.841549E-03
   0.157080  2.566532E-02
   0.314159  0.104843
   0.471239  0.178463
   0.628319  0.208711
   0.785398  0.191220
   0.942478  0.145336
   1.09956  9.479929E-02
   1.25664  5.305458E-02
   1.41372  2.296950E-02
   1.57080  0.000000
   1.72788  2.296950E-02
   1.88496  5.305458E-02
   2.04204  9.479929E-02
   2.19911  0.145336
   2.35619  0.191220
   2.51327  0.208711
   2.67035  0.178463
   2.82743  0.104843
   2.98451  2.566532E-02
   3.14159  8.841549E-03
   3.29867  2.566924E-02
   3.45575  0.104867
   3.61283  0.178530
   3.76991  0.208833
   3.92699  0.191098
   4.08407  0.145250
   4.24115  9.470764E-02
   4.39823  5.305332E-02
   4.55531  2.296859E-02
   4.71239  1.692502E-17
   4.86947  2.296859E-02
   5.02655  5.305332E-02
   5.18363  9.470764E-02
   5.34071  0.145250
   5.49779  0.191098
   5.65487  0.208833
   5.81195  0.178530
   5.96903  0.104867
   6.12611  2.566924E-02
   6.28319  8.841549E-03
