*** NEC ADMITTANCE FILE
 Fan antenna impedance.  Symbols a 1 Mhz increments                                                                    
            F (MHz)        ZR          ZI
       1  2.00000E+00 9.42813E-06 3.63297E-03 1
       2  2.00350E+00 9.50634E-06 3.64156E-03
       3  2.00700E+00 9.58507E-06 3.65017E-03
       4  2.01050E+00 9.66436E-06 3.65879E-03
       5  2.01401E+00 9.74427E-06 3.66743E-03
       6  2.01751E+00 9.82469E-06 3.67608E-03
       7  2.02101E+00 9.90568E-06 3.68475E-03
       8  2.02451E+00 9.98722E-06 3.69343E-03
       9  2.02801E+00 1.00694E-05 3.70213E-03
      10  2.03151E+00 1.01521E-05 3.71084E-03
      11  2.03502E+00 1.02354E-05 3.71958E-03
      12  2.03852E+00 1.03194E-05 3.72832E-03
      13  2.04202E+00 1.04038E-05 3.73708E-03
      14  2.04552E+00 1.04889E-05 3.74586E-03
      15  2.04902E+00 1.05746E-05 3.75466E-03
      16  2.05252E+00 1.06609E-05 3.76347E-03
      17  2.05603E+00 1.07478E-05 3.77229E-03
      18  2.05953E+00 1.08353E-05 3.78114E-03
      19  2.06303E+00 1.09235E-05 3.79000E-03
      20  2.06653E+00 1.10122E-05 3.79887E-03
      21  2.07003E+00 1.11016E-05 3.80776E-03
      22  2.07353E+00 1.11916E-05 3.81667E-03
      23  2.07704E+00 1.12822E-05 3.82560E-03
      24  2.08054E+00 1.13735E-05 3.83454E-03
      25  2.08404E+00 1.14655E-05 3.84350E-03
      26  2.08754E+00 1.15580E-05 3.85247E-03
      27  2.09104E+00 1.16512E-05 3.86147E-03
      28  2.09454E+00 1.17451E-05 3.87047E-03
      29  2.09805E+00 1.18395E-05 3.87950E-03
      30  2.10155E+00 1.19347E-05 3.88854E-03
      31  2.10505E+00 1.20306E-05 3.89760E-03
      32  2.10855E+00 1.21271E-05 3.90668E-03
      33  2.11205E+00 1.22243E-05 3.91578E-03
      34  2.11555E+00 1.23222E-05 3.92489E-03
      35  2.11906E+00 1.24208E-05 3.93402E-03
      36  2.12256E+00 1.25199E-05 3.94316E-03
      37  2.12606E+00 1.26199E-05 3.95233E-03
      38  2.12956E+00 1.27205E-05 3.96151E-03
      39  2.13306E+00 1.28219E-05 3.97071E-03
      40  2.13656E+00 1.29239E-05 3.97993E-03
      41  2.14007E+00 1.30266E-05 3.98916E-03
      42  2.14357E+00 1.31300E-05 3.99842E-03
      43  2.14707E+00 1.32343E-05 4.00769E-03
      44  2.15057E+00 1.33391E-05 4.01698E-03
      45  2.15407E+00 1.34448E-05 4.02629E-03
