###################################################
#
# File generated by the CONCEPT program radiate
#
# Values for far field 
# Column  1 : Angle
# Column  2 : Magnitude, 30.0250 MHz                  
# 
   0.000000  0.189085
   0.165347  0.205049
   0.330694  0.215151
   0.496041  0.221653
   0.661388  0.232954
   0.826735  0.249877
   0.992082  0.266669
   1.15743  0.278466
   1.32278  0.281453
   1.48812  0.272715
   1.65347  0.251426
   1.81882  0.220354
   1.98416  0.186987
   2.14951  0.163569
   2.31486  0.161495
   2.48020  0.178489
   2.64555  0.200178
   2.81090  0.215402
   2.97625  0.222386
   3.14159  0.227353
   3.30694  0.237447
   3.47229  0.254354
   3.63763  0.275081
   3.80298  0.293545
   3.96833  0.302711
   4.13367  0.298471
   4.29902  0.281780
   4.46437  0.257967
   4.62972  0.234178
   4.79506  0.215899
   4.96041  0.204375
   5.12576  0.197256
   5.29110  0.191275
   5.45645  0.183939
   5.62180  0.174390
   5.78714  0.165151
   5.95249  0.163030
   6.11784  0.172459
   6.28319  0.189085
