###################################################
#
# File generated by the CONCEPT program radiate
#
# Horizontal diagram 
# Values for far field 
# Column  1 : Angle
# Column  2 : Magnitude, 30.0250 MHz                  
# 
   0.000000  0.263566
   0.314159  0.263566
   0.628319  0.263566
   0.942478  0.263566
   1.25664  0.263566
   1.57080  0.263566
   1.88496  0.263566
   2.19911  0.263566
   2.51327  0.263566
   2.82743  0.263566
   3.14159  0.263566
   3.45575  0.263566
   3.76991  0.263566
   4.08407  0.263566
   4.39823  0.263566
   4.71239  0.263566
   5.02655  0.263566
   5.34071  0.263566
   5.65487  0.263566
   5.96903  0.263566
   6.28319  0.263566
