# co_eff.asc
# Efficiency: eta = P_rad / P_in
# Frequency               P_in                    P_rad                   eta
  0.300000000000000E+000  0.000000000000000E+000  0.161790962164402E-010                     INF
  0.200000000000000E+000  0.000000000000000E+000  0.319350524889905E-011                     INF
  0.300000000000000E+000  0.000000000000000E+000  0.161790962164402E-010                     INF
  0.400000000000000E+000  0.000000000000000E+000  0.511869589179450E-010                     INF
  0.500000000000000E+000  0.000000000000000E+000  0.125134820920419E-009                     INF
  0.600000000000000E+000  0.000000000000000E+000  0.259902717991946E-009                     INF
  0.700000000000000E+000  0.000000000000000E+000  0.482430493648443E-009                     INF
  0.800000000000000E+000  0.000000000000000E+000  0.824838110328391E-009                     INF
  0.900000000000000E+000  0.000000000000000E+000  0.132456948344412E-008                     INF
  0.100000000000000E+001  0.000000000000000E+000  0.202456069325598E-008                     INF
  0.110000000000000E+001  0.000000000000000E+000  0.297343358007027E-008                     INF
  0.120000000000000E+001  0.000000000000000E+000  0.422571588728042E-008                     INF
  0.130000000000000E+001  0.000000000000000E+000  0.584208928586641E-008                     INF
  0.140000000000000E+001  0.000000000000000E+000  0.788966679416123E-008                     INF
  0.150000000000000E+001  0.000000000000000E+000  0.104423012999301E-007                     INF
  0.160000000000000E+001  0.000000000000000E+000  0.135809271001637E-007                     INF
  0.170000000000000E+001  0.000000000000000E+000  0.173939366001859E-007                     INF
  0.180000000000000E+001  0.000000000000000E+000  0.219775945554337E-007                     INF
  0.190000000000000E+001  0.000000000000000E+000  0.274364925091083E-007                     INF
  0.200000000000000E+001  0.000000000000000E+000  0.338840463646749E-007                     INF
  0.210000000000000E+001  0.000000000000000E+000  0.414430403548973E-007                     INF
  0.220000000000000E+001  0.000000000000000E+000  0.502462210104353E-007                     INF
  0.230000000000000E+001  0.000000000000000E+000  0.604369451241781E-007                     INF
  0.240000000000000E+001  0.000000000000000E+000  0.721698861154435E-007                     INF
  0.250000000000000E+001  0.000000000000000E+000  0.856118036785478E-007                     INF
  0.260000000000000E+001  0.000000000000000E+000  0.100942382097336E-006                     INF
  0.270000000000000E+001  0.000000000000000E+000  0.118355143198790E-006                     INF
  0.280000000000000E+001  0.000000000000000E+000  0.138058440522771E-006                     INF
  0.290000000000000E+001  0.000000000000000E+000  0.160276542001433E-006                     INF
  0.300000000000000E+001  0.000000000000000E+000  0.185250809232802E-006                     INF
  0.310000000000000E+001  0.000000000000000E+000  0.213240982263611E-006                     INF
  0.320000000000000E+001  0.000000000000000E+000  0.244526579802943E-006                     INF
  0.330000000000000E+001  0.000000000000000E+000  0.279408425840656E-006                     INF
  0.340000000000000E+001  0.000000000000000E+000  0.318210314863780E-006                     INF
  0.350000000000000E+001  0.000000000000000E+000  0.361280829209467E-006                     INF
  0.360000000000000E+001  0.000000000000000E+000  0.408995323631263E-006                     INF
  0.370000000000000E+001  0.000000000000000E+000  0.461758093806033E-006                     INF
  0.380000000000000E+001  0.000000000000000E+000  0.520004747453476E-006                     INF
  0.390000000000000E+001  0.000000000000000E+000  0.584204798911611E-006                     INF
  0.400000000000000E+001  0.000000000000000E+000  0.654864510397446E-006                     INF
  0.410000000000000E+001  0.000000000000000E+000  0.732530005933605E-006                     INF
  0.420000000000000E+001  0.000000000000000E+000  0.817790686977671E-006                     INF
  0.430000000000000E+001  0.000000000000000E+000  0.911282982431992E-006                     INF
  0.440000000000000E+001  0.000000000000000E+000  0.101369446943985E-005                     INF
  0.450000000000000E+001  0.000000000000000E+000  0.112576840614408E-005                     INF
  0.460000000000000E+001  0.000000000000000E+000  0.124830872248055E-005                     INF
  0.470000000000000E+001  0.000000000000000E+000  0.138218552114810E-005                     INF
  0.480000000000000E+001  0.000000000000000E+000  0.152834114723163E-005                     INF
  0.490000000000000E+001  0.000000000000000E+000  0.168779689298150E-005                     INF
  0.500000000000000E+001  0.000000000000000E+000  0.186166041255242E-005                     INF
  0.510000000000000E+001  0.000000000000000E+000  0.205113393183961E-005                     INF
  0.520000000000000E+001  0.000000000000000E+000  0.225752334971013E-005                     INF
  0.530000000000000E+001  0.000000000000000E+000  0.248224834033119E-005                     INF
  0.540000000000000E+001  0.000000000000000E+000  0.272685358161378E-005                     INF
  0.550000000000000E+001  0.000000000000000E+000  0.299302125200338E-005                     INF
  0.560000000000000E+001  0.000000000000000E+000  0.328258495855593E-005                     INF
  0.570000000000000E+001  0.000000000000000E+000  0.359754528279025E-005                     INF
  0.580000000000000E+001  0.000000000000000E+000  0.394008715823296E-005                     INF
  0.590000000000000E+001  0.000000000000000E+000  0.431259932530001E-005                     INF
  0.600000000000000E+001  0.000000000000000E+000  0.471769614700104E-005                     INF
  0.610000000000000E+001  0.000000000000000E+000  0.515824211264706E-005                     INF
  0.620000000000000E+001  0.000000000000000E+000  0.563737940680506E-005                     INF
  0.630000000000000E+001  0.000000000000000E+000  0.615855898340619E-005                     INF
  0.640000000000000E+001  0.000000000000000E+000  0.672557565323598E-005                     INF
  0.650000000000000E+001  0.000000000000000E+000  0.734260777893757E-005                     INF
  0.660000000000000E+001  0.000000000000000E+000  0.801426227136593E-005                     INF
  0.670000000000000E+001  0.000000000000000E+000  0.874562569712359E-005                     INF
  0.680000000000000E+001  0.000000000000000E+000  0.954232245287500E-005                     INF
  0.690000000000000E+001  0.000000000000000E+000  0.104105811271302E-004                     INF
  0.700000000000000E+001  0.000000000000000E+000  0.113573103770345E-004                     INF
  0.710000000000000E+001  0.000000000000000E+000  0.123901858902847E-004                     INF
  0.720000000000000E+001  0.000000000000000E+000  0.135177502991791E-004                     INF
  0.730000000000000E+001  0.000000000000000E+000  0.147495282700112E-004                     INF
  0.740000000000000E+001  0.000000000000000E+000  0.160961594287022E-004                     INF
  0.750000000000000E+001  0.000000000000000E+000  0.175695523112637E-004                     INF
  0.760000000000000E+001  0.000000000000000E+000  0.191830631835775E-004                     INF
  0.770000000000000E+001  0.000000000000000E+000  0.209517043776445E-004                     INF
  0.780000000000000E+001  0.000000000000000E+000  0.228923877827164E-004                     INF
  0.790000000000000E+001  0.000000000000000E+000  0.250242103706612E-004                     INF
