    0    0    2  ! Symmetry, free space/id. ground, freq. variant
   340 MHz  ! total no. of frequencies, unit
   0   ! structure type
   0   ! total no. of bodies
      1 0.100000E+00   2700  ! no. freq, freq. value, number of unknowns
      2 0.200000E+00   2700  ! no. freq, freq. value, number of unknowns
      3 0.300000E+00   2700  ! no. freq, freq. value, number of unknowns
      4 0.400000E+00   2700  ! no. freq, freq. value, number of unknowns
      5 0.500000E+00   2700  ! no. freq, freq. value, number of unknowns
      6 0.600000E+00   2700  ! no. freq, freq. value, number of unknowns
      7 0.700000E+00   2700  ! no. freq, freq. value, number of unknowns
      8 0.800000E+00   2700  ! no. freq, freq. value, number of unknowns
      9 0.900000E+00   2700  ! no. freq, freq. value, number of unknowns
     10 0.100000E+01   2700  ! no. freq, freq. value, number of unknowns
     11 0.110000E+01   2700  ! no. freq, freq. value, number of unknowns
     12 0.120000E+01   2700  ! no. freq, freq. value, number of unknowns
     13 0.130000E+01   2700  ! no. freq, freq. value, number of unknowns
     14 0.140000E+01   2700  ! no. freq, freq. value, number of unknowns
     15 0.150000E+01   2700  ! no. freq, freq. value, number of unknowns
     16 0.160000E+01   2700  ! no. freq, freq. value, number of unknowns
     17 0.170000E+01   2700  ! no. freq, freq. value, number of unknowns
     18 0.180000E+01   2700  ! no. freq, freq. value, number of unknowns
     19 0.190000E+01   2700  ! no. freq, freq. value, number of unknowns
     20 0.200000E+01   2700  ! no. freq, freq. value, number of unknowns
     21 0.210000E+01   2700  ! no. freq, freq. value, number of unknowns
     22 0.220000E+01   2700  ! no. freq, freq. value, number of unknowns
     23 0.230000E+01   2700  ! no. freq, freq. value, number of unknowns
     24 0.240000E+01   2700  ! no. freq, freq. value, number of unknowns
     25 0.250000E+01   2700  ! no. freq, freq. value, number of unknowns
     26 0.260000E+01   2700  ! no. freq, freq. value, number of unknowns
     27 0.270000E+01   2700  ! no. freq, freq. value, number of unknowns
     28 0.280000E+01   2700  ! no. freq, freq. value, number of unknowns
     29 0.290000E+01   2700  ! no. freq, freq. value, number of unknowns
     30 0.300000E+01   2700  ! no. freq, freq. value, number of unknowns
     31 0.310000E+01   2700  ! no. freq, freq. value, number of unknowns
     32 0.320000E+01   2700  ! no. freq, freq. value, number of unknowns
     33 0.330000E+01   2700  ! no. freq, freq. value, number of unknowns
     34 0.340000E+01   2700  ! no. freq, freq. value, number of unknowns
     35 0.350000E+01   2700  ! no. freq, freq. value, number of unknowns
     36 0.360000E+01   2700  ! no. freq, freq. value, number of unknowns
     37 0.370000E+01   2700  ! no. freq, freq. value, number of unknowns
     38 0.380000E+01   2700  ! no. freq, freq. value, number of unknowns
     39 0.390000E+01   2700  ! no. freq, freq. value, number of unknowns
     40 0.400000E+01   2700  ! no. freq, freq. value, number of unknowns
     41 0.410000E+01   2700  ! no. freq, freq. value, number of unknowns
     42 0.420000E+01   2700  ! no. freq, freq. value, number of unknowns
     43 0.430000E+01   2700  ! no. freq, freq. value, number of unknowns
     44 0.440000E+01   2700  ! no. freq, freq. value, number of unknowns
     45 0.450000E+01   2700  ! no. freq, freq. value, number of unknowns
     46 0.460000E+01   2700  ! no. freq, freq. value, number of unknowns
     47 0.470000E+01   2700  ! no. freq, freq. value, number of unknowns
     48 0.480000E+01   2700  ! no. freq, freq. value, number of unknowns
     49 0.490000E+01   2700  ! no. freq, freq. value, number of unknowns
     50 0.500000E+01   2700  ! no. freq, freq. value, number of unknowns
     51 0.510000E+01   2700  ! no. freq, freq. value, number of unknowns
     52 0.520000E+01   2700  ! no. freq, freq. value, number of unknowns
     53 0.530000E+01   2700  ! no. freq, freq. value, number of unknowns
     54 0.540000E+01   2700  ! no. freq, freq. value, number of unknowns
     55 0.550000E+01   2700  ! no. freq, freq. value, number of unknowns
     56 0.560000E+01   2700  ! no. freq, freq. value, number of unknowns
     57 0.570000E+01   2700  ! no. freq, freq. value, number of unknowns
     58 0.580000E+01   2700  ! no. freq, freq. value, number of unknowns
     59 0.590000E+01   2700  ! no. freq, freq. value, number of unknowns
     60 0.600000E+01   2700  ! no. freq, freq. value, number of unknowns
     61 0.610000E+01   2700  ! no. freq, freq. value, number of unknowns
     62 0.620000E+01   2700  ! no. freq, freq. value, number of unknowns
     63 0.630000E+01   2700  ! no. freq, freq. value, number of unknowns
     64 0.640000E+01   2700  ! no. freq, freq. value, number of unknowns
     65 0.650000E+01   2700  ! no. freq, freq. value, number of unknowns
     66 0.660000E+01   2700  ! no. freq, freq. value, number of unknowns
     67 0.670000E+01   2700  ! no. freq, freq. value, number of unknowns
     68 0.680000E+01   2700  ! no. freq, freq. value, number of unknowns
     69 0.690000E+01   2700  ! no. freq, freq. value, number of unknowns
     70 0.700000E+01   2700  ! no. freq, freq. value, number of unknowns
     71 0.710000E+01   2700  ! no. freq, freq. value, number of unknowns
     72 0.720000E+01   2700  ! no. freq, freq. value, number of unknowns
     73 0.730000E+01   2700  ! no. freq, freq. value, number of unknowns
     74 0.740000E+01   2700  ! no. freq, freq. value, number of unknowns
     75 0.750000E+01   2700  ! no. freq, freq. value, number of unknowns
     76 0.760000E+01   2700  ! no. freq, freq. value, number of unknowns
     77 0.770000E+01   2700  ! no. freq, freq. value, number of unknowns
     78 0.780000E+01   2700  ! no. freq, freq. value, number of unknowns
     79 0.790000E+01   2700  ! no. freq, freq. value, number of unknowns
     80 0.800000E+01   2700  ! no. freq, freq. value, number of unknowns
     81 0.810000E+01   2700  ! no. freq, freq. value, number of unknowns
     82 0.820000E+01   2700  ! no. freq, freq. value, number of unknowns
     83 0.830000E+01   2700  ! no. freq, freq. value, number of unknowns
     84 0.840000E+01   2700  ! no. freq, freq. value, number of unknowns
     85 0.850000E+01   2700  ! no. freq, freq. value, number of unknowns
     86 0.860000E+01   2700  ! no. freq, freq. value, number of unknowns
     87 0.870000E+01   2700  ! no. freq, freq. value, number of unknowns
     88 0.880000E+01   2700  ! no. freq, freq. value, number of unknowns
     89 0.890000E+01   2700  ! no. freq, freq. value, number of unknowns
     90 0.900000E+01   2700  ! no. freq, freq. value, number of unknowns
     91 0.910000E+01   2700  ! no. freq, freq. value, number of unknowns
     92 0.920000E+01   2700  ! no. freq, freq. value, number of unknowns
     93 0.930000E+01   2700  ! no. freq, freq. value, number of unknowns
     94 0.940000E+01   2700  ! no. freq, freq. value, number of unknowns
     95 0.950000E+01   2700  ! no. freq, freq. value, number of unknowns
     96 0.960000E+01   2700  ! no. freq, freq. value, number of unknowns
     97 0.970000E+01   2700  ! no. freq, freq. value, number of unknowns
     98 0.980000E+01   2700  ! no. freq, freq. value, number of unknowns
     99 0.990000E+01   2700  ! no. freq, freq. value, number of unknowns
    100 0.100000E+02   2700  ! no. freq, freq. value, number of unknowns
    101 0.101000E+02   2700  ! no. freq, freq. value, number of unknowns
    102 0.102000E+02   2700  ! no. freq, freq. value, number of unknowns
    103 0.103000E+02   2700  ! no. freq, freq. value, number of unknowns
    104 0.104000E+02   2700  ! no. freq, freq. value, number of unknowns
    105 0.105000E+02   2700  ! no. freq, freq. value, number of unknowns
    106 0.106000E+02   2700  ! no. freq, freq. value, number of unknowns
    107 0.107000E+02   2700  ! no. freq, freq. value, number of unknowns
    108 0.108000E+02   2700  ! no. freq, freq. value, number of unknowns
    109 0.109000E+02   2700  ! no. freq, freq. value, number of unknowns
    110 0.110000E+02   2700  ! no. freq, freq. value, number of unknowns
    111 0.111000E+02   2700  ! no. freq, freq. value, number of unknowns
    112 0.112000E+02   2700  ! no. freq, freq. value, number of unknowns
    113 0.113000E+02   2700  ! no. freq, freq. value, number of unknowns
    114 0.114000E+02   2700  ! no. freq, freq. value, number of unknowns
    115 0.115000E+02   2700  ! no. freq, freq. value, number of unknowns
    116 0.116000E+02   2700  ! no. freq, freq. value, number of unknowns
    117 0.117000E+02   2700  ! no. freq, freq. value, number of unknowns
    118 0.118000E+02   2700  ! no. freq, freq. value, number of unknowns
    119 0.119000E+02   2700  ! no. freq, freq. value, number of unknowns
    120 0.120000E+02   2700  ! no. freq, freq. value, number of unknowns
    121 0.121000E+02   2700  ! no. freq, freq. value, number of unknowns
    122 0.122000E+02   2700  ! no. freq, freq. value, number of unknowns
    123 0.123000E+02   2700  ! no. freq, freq. value, number of unknowns
    124 0.124000E+02   2700  ! no. freq, freq. value, number of unknowns
    125 0.125000E+02   2700  ! no. freq, freq. value, number of unknowns
    126 0.126000E+02   2700  ! no. freq, freq. value, number of unknowns
    127 0.127000E+02   2700  ! no. freq, freq. value, number of unknowns
    128 0.128000E+02   2700  ! no. freq, freq. value, number of unknowns
    129 0.129000E+02   2700  ! no. freq, freq. value, number of unknowns
    130 0.130000E+02   2700  ! no. freq, freq. value, number of unknowns
    131 0.131000E+02   2700  ! no. freq, freq. value, number of unknowns
    132 0.132000E+02   2700  ! no. freq, freq. value, number of unknowns
    133 0.133000E+02   2700  ! no. freq, freq. value, number of unknowns
    134 0.134000E+02   2700  ! no. freq, freq. value, number of unknowns
    135 0.135000E+02   2700  ! no. freq, freq. value, number of unknowns
    136 0.136000E+02   2700  ! no. freq, freq. value, number of unknowns
    137 0.137000E+02   2700  ! no. freq, freq. value, number of unknowns
    138 0.138000E+02   2700  ! no. freq, freq. value, number of unknowns
    139 0.139000E+02   2700  ! no. freq, freq. value, number of unknowns
    140 0.140000E+02   2700  ! no. freq, freq. value, number of unknowns
    141 0.141000E+02   2700  ! no. freq, freq. value, number of unknowns
    142 0.142000E+02   2700  ! no. freq, freq. value, number of unknowns
    143 0.143000E+02   2700  ! no. freq, freq. value, number of unknowns
    144 0.144000E+02   2700  ! no. freq, freq. value, number of unknowns
    145 0.145000E+02   2700  ! no. freq, freq. value, number of unknowns
    146 0.146000E+02   2700  ! no. freq, freq. value, number of unknowns
    147 0.147000E+02   2700  ! no. freq, freq. value, number of unknowns
    148 0.148000E+02   2700  ! no. freq, freq. value, number of unknowns
    149 0.149000E+02   2700  ! no. freq, freq. value, number of unknowns
    150 0.150000E+02   2700  ! no. freq, freq. value, number of unknowns
    151 0.151000E+02   2700  ! no. freq, freq. value, number of unknowns
    152 0.152000E+02   2700  ! no. freq, freq. value, number of unknowns
    153 0.153000E+02   2700  ! no. freq, freq. value, number of unknowns
    154 0.154000E+02   2700  ! no. freq, freq. value, number of unknowns
    155 0.155000E+02   2700  ! no. freq, freq. value, number of unknowns
    156 0.156000E+02   2700  ! no. freq, freq. value, number of unknowns
    157 0.157000E+02   2700  ! no. freq, freq. value, number of unknowns
    158 0.158000E+02   2700  ! no. freq, freq. value, number of unknowns
    159 0.159000E+02   2700  ! no. freq, freq. value, number of unknowns
    160 0.160000E+02   2700  ! no. freq, freq. value, number of unknowns
    161 0.161000E+02   2700  ! no. freq, freq. value, number of unknowns
    162 0.162000E+02   2700  ! no. freq, freq. value, number of unknowns
    163 0.163000E+02   2700  ! no. freq, freq. value, number of unknowns
    164 0.164000E+02   2700  ! no. freq, freq. value, number of unknowns
    165 0.165000E+02   2700  ! no. freq, freq. value, number of unknowns
    166 0.166000E+02   2700  ! no. freq, freq. value, number of unknowns
    167 0.167000E+02   2700  ! no. freq, freq. value, number of unknowns
    168 0.168000E+02   2700  ! no. freq, freq. value, number of unknowns
    169 0.169000E+02   2700  ! no. freq, freq. value, number of unknowns
    170 0.170000E+02   2700  ! no. freq, freq. value, number of unknowns
    171 0.171000E+02   2700  ! no. freq, freq. value, number of unknowns
    172 0.172000E+02   2700  ! no. freq, freq. value, number of unknowns
    173 0.173000E+02   2700  ! no. freq, freq. value, number of unknowns
    174 0.174000E+02   2700  ! no. freq, freq. value, number of unknowns
    175 0.175000E+02   2700  ! no. freq, freq. value, number of unknowns
    176 0.176000E+02   2700  ! no. freq, freq. value, number of unknowns
    177 0.177000E+02   2700  ! no. freq, freq. value, number of unknowns
    178 0.178000E+02   2700  ! no. freq, freq. value, number of unknowns
    179 0.179000E+02   2700  ! no. freq, freq. value, number of unknowns
    180 0.180000E+02   2700  ! no. freq, freq. value, number of unknowns
    181 0.181000E+02   2700  ! no. freq, freq. value, number of unknowns
    182 0.182000E+02   2700  ! no. freq, freq. value, number of unknowns
    183 0.183000E+02   2700  ! no. freq, freq. value, number of unknowns
    184 0.184000E+02   2700  ! no. freq, freq. value, number of unknowns
    185 0.185000E+02   2700  ! no. freq, freq. value, number of unknowns
    186 0.186000E+02   2700  ! no. freq, freq. value, number of unknowns
    187 0.187000E+02   2700  ! no. freq, freq. value, number of unknowns
    188 0.188000E+02   2700  ! no. freq, freq. value, number of unknowns
    189 0.189000E+02   2700  ! no. freq, freq. value, number of unknowns
    190 0.190000E+02   2700  ! no. freq, freq. value, number of unknowns
    191 0.191000E+02   2700  ! no. freq, freq. value, number of unknowns
    192 0.192000E+02   2700  ! no. freq, freq. value, number of unknowns
    193 0.193000E+02   2700  ! no. freq, freq. value, number of unknowns
    194 0.194000E+02   2700  ! no. freq, freq. value, number of unknowns
    195 0.195000E+02   2700  ! no. freq, freq. value, number of unknowns
    196 0.196000E+02   2700  ! no. freq, freq. value, number of unknowns
    197 0.197000E+02   2700  ! no. freq, freq. value, number of unknowns
    198 0.198000E+02   2700  ! no. freq, freq. value, number of unknowns
    199 0.199000E+02   2700  ! no. freq, freq. value, number of unknowns
    200 0.200000E+02   2700  ! no. freq, freq. value, number of unknowns
    201 0.201000E+02   2700  ! no. freq, freq. value, number of unknowns
    202 0.202000E+02   2700  ! no. freq, freq. value, number of unknowns
    203 0.203000E+02   2700  ! no. freq, freq. value, number of unknowns
    204 0.204000E+02   2700  ! no. freq, freq. value, number of unknowns
    205 0.205000E+02   2700  ! no. freq, freq. value, number of unknowns
